Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
预订,yùdìng,Verb,"to place an order, to book ahead",你打电话预订餐厅了吗？,Nǐ dǎdiànhuà yùdìng cāntīngle ma?,Have you ordered a meal at the restaurant?,我已经预订餐厅了，七点去接你。,"Wǒ yǐjīng yùdìng cāntīngle, qī diǎn qù jiē nǐ.","I have booked the restaurant, I'll pick you up at seven."
餐厅,cāntīng,Noun,restaurant,这家餐厅在这座城市很有名。,Zhè jiā cāntīng zài zhè zuò chéngshì hěn yǒumíng.,This restaurant is famous in the city.,我们今天去餐厅吃美食。,Wǒmen jīntiān qù cāntīng chī měishí.,We went to the restaurant for a meal today.
准时,zhǔnshí,Adj/Adv,"on time, punctual, on schedule",他每天都准时七点钟出门。,Tā měitiān dū zhǔnshí qī diǎn zhōng chūmén.,He goes out every day at seven o'clock.,今天晚上八点请准时到百货公司门口。,Jīntiān wǎnshàng bā diǎn qǐng zhǔnshí dào bǎihuò gōngsī ménkǒu.,Please arrive the department store at eight o'clock this evening.
笑,xiào,Verb,"to laugh, to smile",她笑起来很漂亮，大家都很喜欢她。,"Tā xiào qǐlái hěn piàoliang, dàjiā dōu hěn xǐhuan tā.","Her smiles beautifully, everyone really likes her.",他很喜欢笑，人也很好。,"Tā hěn xǐ huān xiào, rén yě hěn hǎo.","He likes to laugh, and he is friendly."
门口,ménkǒu,Noun,"doorway, gate",我在餐厅门口等你很久了，你怎么还不来？,"Wǒ zài cāntīng ménkǒu děng nǐ hěnjiǔ le, nǐ zěnme hái bù lái?","I am waiting for you at the door of the restaurant for a long time, why don't you come?",今天五点在银行门口见。,Jīntiān wǔ diǎn zài yínháng ménkǒu jiàn.,See you at the door of the bank at five o'clock today.
家,jiā,Measure word,"Measure word for families or businesses,",这家餐厅的蛋糕很好吃。,Zhè jiā cāntīng de dàngāo hěn hǎochī.,The cake of this restaurant is delicious.,这家百货公司的美食很有名。,Zhè jiā bǎihuò gōngsī de měishí hěn yǒumíng.,The food of this department store is famous.
情人节,qíngrén jié,Noun,Valentine's Day,你知道中国的情人节是几月几号吗？,Nǐ zhīdào Zhōngguó de qíngrén jié shì jǐ yuè jǐ hào ma?,Do you know what date is Chinese Valentine’s day?,今天是情人节，我们去吃饭吧！,"Jīntiān shì qíngrén jié, wǒmen qù chīfàn ba!","Today is Valentine's Day, let’s have a meal!"
一下儿,yīxià er,Phrase,"(used after a verb) in a while, give it a try","因为今天你生日，所以我们去酒吧庆祝
一下儿吧！","Yīnwèi jīntiān nǐ shēngrì, suǒyǐ wǒmen qù jiǔbā qìngzhù yīxiàr ba!","Because today's your birthday, let’s go to a bar to celebrate a bit!","你等一下儿，我现在就从百货公司出
来。","Nǐ děng yīxiàr, wǒ xiànzài jiù cóng bǎihuò gōngsī chūlái.","Wait a minute, now I come out from the department store."
庆祝,qìngzhù,Verb,to celebrate,今年的生日，你想要怎么庆祝呢？,"Jīnnián de shēngrì, nǐ xiǎng yào zěnme qìngzhù ne?","For your birthday this year, how do you want to celebrate?",我找到工作了，一起出来庆祝吧！,"Wǒ zhǎodào gōngzuò le, yìqǐ chūlái qìngzhù ba!",I got a job. Let's celebrate!
同事,tóngshì,Noun,"colleague, co-worker",这是我的新同事，他是中国人。,"Zhè shì wǒ de xīn tóngshì, tā shì Zhōngguó rén.","This is my new colleague, he is Chinese.",今天我和同事一起去酒吧庆祝生日。,Jīntiān wǒ hé tóngshì yìqǐ qù jiǔbā qìngzhù shēngrì.,Today I went to the bar with my colleagues to celebrate my birthday.
找到,zhǎodào,Verb,to find,我找到新工作了，明天就开始上班。,"Wǒ zhǎodào xīn gōngzuò le, míngtiān jiù kāishǐ shàngbān.",I found a new job and will start working tomorrow.,"我好不容易找到这张特别的椅子，别再
弄坏了。","Wǒ hǎobù róngyì zhǎodào zhè zhāng tèbié de yǐzi, bié zài nòng huài le.","It's not easy to find this chair, please do not break it again."
恭喜,gōngxǐ,Phrase,congratulations,恭喜你买到最喜欢的电脑了。,Gōngxǐ nǐ mǎi dào zuì xǐhuan de diànnǎo le.,Congratulations on buying your favorite computer.,恭喜你找到工作了。,Gōngxǐ nǐ zhǎodào gōngzuò le.,Congratulations! You found a job!
下班,xiàbān,Verb Object,"to finish work, to get off work",今天下班后，我们一起去百货公司吧！,"Jīntiān xiàbān hòu, wǒmen yīqǐ qù bǎihuò gōngsī ba!","Today after work, let's go to a department store together!",你昨天下班以后，去了哪里？,"Nǐ zuótiān xiàbān yǐhòu, qù le nǎlǐ?",Where did you go after work yesterday?
环境,huánjìng,Noun,"environment, circumstances, surroundings",这间公司的环境很好，我很喜欢。,"Zhè jiān gōngsī de huánjìng hěn hǎo, wǒ hěn xǐhuan.","The company's environment is very good, I like it.",你觉得这座城市的环境怎么样？,Nǐ juéde zhè zuò chéngshì de huánjìng zěnmeyàng?,What do you think of the city's environment?
导游,dǎoyóu,Noun,tour guide,他的工作是导游。,Tā de gōngzuò shì dǎoyóu.,His job is a tour guide.,导游的工作不容易做。,Dǎoyóu de gōngzuò bù róngyì zuò.,Guide work is not easy to do.
美食,měishí,Noun,"culinary delicacy, fine food",我喜欢吃美食。,Wǒ xǐhuan chī měishí.,I like to eat fine foods.,你喜欢吃美食吗？,Nǐ xǐhuan chī měishí ma?,Do you like delicacies?
读书,dúshū,Verb Object,"to read a book, to study, to attend school",熬夜读书对身体不好。,Áoyè dúshū duì shēntǐ bù hǎo.,It’s not healthy to stay up that late reading.,我喜欢在图书馆读书，家里太吵了。,"Wǒ xǐhuan zài túshūguǎn dúshū, jiā lǐ tài chǎo le.","I like to read in library, my house is too noisy."
杂志,zázhì,Noun,magazine,我的妈妈喜欢读健康杂志。,Wǒ de māma xǐhuan dú jiànkāng zázhì.,My mom likes to read health magazine.,这本杂志卖得很好。,Zhè běn zázhì mài de hěn hǎo.,This magazine sells well.
躺,tǎng,Verb,"to recline, to lie down",我有点儿不舒服，我躺下来休息一会儿吧。,"Wǒ yǒu diǎn'er bù shūfu, wǒ tǎng xiàlái xiūxí yìhuǐr ba.","I am not feeling well, let me lie down and take a break.",别躺着用手机，对身体不好。,"Bié tǎng zhe yòng shǒujī, duì shēntǐ bù hǎo.","Don’t use your phone while lying down, it’s bad for your health."
睡着,shuìzháo,Verb,to fall asleep,昨天上课的时候，我不小心睡着了。,"Zuótiān shàngkè de shíhou, wǒ bù xiǎoxīn shuìzháo le.","When taking class yesterday, I accidentally fell asleep.",今天喝太多咖啡，凌晨三点才睡着。,"Jīntiān hē tài duō kāfēi, língchén sān diǎn cái shuìzháo.","I drank too much coffee today, so I was only able to sleep at three in the
morning."
咳嗽,késou,Verb,to cough,医生，我有点儿咳嗽。,"Yīshēng, wǒ yǒudiǎn'er késou.","Doctor, I have a bit of a cough.",我咳嗽得很厉害。,Wǒ késou de hěn lìhài.,I have a really bad cough.
结果,jiéguǒ,Conj,in the end,"我今天喝太多茶了，结果晚上都睡不
着。","Wǒ jīntiān hē tài duō chá le, jiéguǒ wǎnshàng dōu shuì bù zháo.","I drank too many cups of tea today, I couldn’t fall asleep at night.",我昨天熬夜念书，结果今天迟到了。,"Wǒ zuótiān áoyè niànshū, jiéguǒ jīntiān chídào le.","I stayed up late for studying yesterday, I end up being late today."
整个,zhěnggè,Measure word,whole,"因为今天要考试，我昨天整个晚上都在
念书。","Yīnwèi jīntiān yào kǎoshì, wǒ zuótiān zhěnggè wǎnshàng dōu zài niànshū.","Because there is an exam today, I studied whole night yesterday.",她整个月都不在中国。,Tā zhěnggè yuè dōu búzài Zhōngguó.,She is not in China this whole month.
糟糕,zāogāo,Phrase,"how terrible, what bad luck, terrible, bad",真糟糕，我忘记带钱，不能买晚餐了。,"Zhēn zāogāo, wǒ wàngjì dài qián, bùnéng mǎi wǎncān le.",It's too bad! I forgot to bring money with me so that I can not buy dinner.,他迟到了，真是太糟糕了。,"Tā chídào le, zhēnshi tài zāogāo le.","He was late, is really too bad."
感动,gǎndòng,Adj,to be touched (somebody emotionally),他收到你的礼物，一定会很感动。,"Tā shōudào nǐ de lǐwù, yídìng huì hěn gǎndòng.",He will be very touched by the gift you prepared.,谢谢你的蛋糕，我太感动了。,"Xièxiè nǐ de dàngāo, wǒ tài gǎndòng le.","Thank you for your cake, I was so touched."
遗憾,yíhàn,Adj,"regret, to regret, to be sorry that","没和他一起去中国玩，我觉得有点儿遗
憾。","Méi hé tā yìqǐ qù Zhōngguó wán, wǒ juéde yǒudiǎn'er yíhàn.","I did not go China with him, I feel a little regret.","来到中国，没吃到美食，真是太遗憾
了。","Lái dào Zhōngguó, méi chī dào měishí, zhēnshi tài yíhàn le.",It's really regretful that I didn't eat the Chinese delicacy in China.
见面,jiànmiàn,Verb Object,"to meet, to see each other",明天一点在银行门口见面，不要忘了。,"Míngtiān yìdiǎn zài yínháng ménkǒu jiànmiàn, búyào wàngle.","Meet tomorrow at the bank door, do not forget.",我跟他约在百货公司见面。,Wǒ gēn tā yuē zài bǎihuò gōngsī jiànmiàn.,I told him about the department store.
聚会,jùhuì,Noun/Verb,"party, gathering",他的生日聚会你会来吗？,Tā de shēngrì jùhuì nǐ huì lái ma?,Will you come from his birthday party?,下个星期天，我有一个聚会。,"Xià gè xīngqītiān, wǒ yǒu yīgè jùhuì.","Next Sunday, I have a party."
联系,liánxì,Verb,"to get in touch with, to contact, to link",我跟他已经三年没有联系了。,Wǒ gēn tā yǐjīng sānnián méiyǒu liánxìle.,I have not been in contact with him for three years.,"要记得联系大家，下个星期天到餐厅聚
会。","Yào jìde liánxì dàjiā, xià gè xīngqītiān dào cāntīng jùhuì.",Remember to contact everyone and meet the restaurant next Sunday.
抱歉,bàoqiàn,Phrase,"to be sorry, to feel apologetic",非常抱歉我迟到了，这一餐我请客。,"Fēicháng bàoqiàn wǒ chídàole, zhè yìcān wǒ qǐngkè.",I'm sorry I'm late for this meal.,真是抱歉，弄坏你的画。,"Zhēnshi bàoqiàn, nòng huài nǐ de huà.",I'm sorry to have broken your picture.
准备,zhǔnbèi,Verb,to prepare,他的生日会你都准备好了吗？,Tā de shēngrì huì nǐ dōu zhǔnbèi hǎole ma?,Will you be ready for your birthday?,今天的晚餐我都准备好了。,Jīntiān de wǎncān wǒ dōu zhǔnbèi hǎole.,I'm ready for dinner today.
惊喜,jīngxǐ,Adj,surprise,我想要给他一个生日惊喜。,Wǒ xiǎng yào gěi tā yígè shēngrì jīngxǐ.,I want to give him a birthday surprise.,好久不见，没想到你会来，真是让我太惊喜了。,"Hǎojiǔ bújiàn, méi xiǎngdào nǐ huì lái, zhēnshi ràng wǒ tài jīngxǐle.","Long time no see, did not think you will come, really makes me too
pleasantly surprised."
钱包,qiánbāo,Noun,"purse, wallet",我的钱包不见了，快帮我找一找。,"Wǒ de qiánbāo bújiànle, kuài bāng wǒ zhǎo yì zhǎo.","My wallet is gone, help me find it.",这是我新买的钱包，很漂亮吧！,"Zhè shì wǒ xīn mǎi de qiánbāo, hěn piàoliang ba!","This is my new wallet, it is beautiful !"
颜色,yánsè,Noun,color,"这件衣服有很多颜色，你想要哪一种颜
色？","Zhè jiàn yīfu yǒu hěnduō yánsè, nǐ xiǎng yào nǎ yìzhǒng yánsè?","This dress has a lot of colors, which color do you want?",这张桌子有三种颜色，你想要哪种？,"Zhè zhāng zhuōzi yǒu sān zhǒng yánsè, nǐ xiǎng yào nǎ zhǒng?","This table has three colors, which color do you want?"
服务台,fúwùtái,Noun,"service desk, information desk, reception desk","你去服务台问一问，有没有人看见你的
钱包。","Nǐ qù fúwùtái wèn yí wèn, yǒu méiyǒu rén kànjiàn nǐ de qiánbāo.","You go to the desk to ask, have not seen your wallet.",我把东西放在服务台，你晚一点去拿。,"Wǒ bǎ dōngxi fàng zài fúwùtái, nǐ wǎn yìdiǎn qù ná.","I put something on the desk, you get it later."
证件,zhèngjiàn,Noun,ID,我的钱包里有证件还有信用卡。,Wǒ de qiánbāo li yǒu zhèngjiàn háiyǒu xìnyòngkǎ.,There are documents in my wallet and a credit card.,你的钱包里面会放证件吗？,Nǐ de qiánbāo lǐmiàn huì fàng zhèngjiàn ma?,Will your wallet put your documents?
现金,xiànjīn,Noun,cash,"你有现金吗？还是要用信用卡买东西
呢？",Nǐ yǒu xiànjīn ma? Háishì yào yòng xìnyòngkǎ mǎi dōngxi ne?,Do you have cash? Or use a credit card to buy things?,出门要记得带现金，买东西比较方便。,"Chūmén yào jìde dài xiànjīn, mǎi dōngxi bǐjiào fāngbiàn.","Go out to remember with cash, buy things only convenient."
拿走,názǒu,Verb,to take away,"我的电脑被妹妹拿走了，今天不能写作
业了。","Wǒ de diànnǎo bèi mèimei názǒu le, jīntiān bùnéng xiě zuòyè le.","My computer was taken away by her sister, and today I cannot write
homework.",这件衣服不要拿走，我等一会儿要穿。,"Zhè jiàn yīfu búyào názǒu, wǒ děng yìhuǐr yào chuān.","Do not take this dress, I will wait for a while to wear."
信用卡,xìnyòngkǎ,Noun,credit card,你喜欢用现金买东西，还是用信用卡？,"Nǐ xǐhuan yòng xiànjīn mǎi dōngxi, háishì yòng xìnyòngkǎ?","Do you like to buy things in cash, or use credit cards?",我有三张信用卡，但是每张都不能用。,"Wǒ yǒusān zhāng xìnyòngkǎ, dànshì měi zhāng dōu bùnéng yòng.","I have three credit cards, but each can not be used.."
收到,shōudào,Verb,to receive,你收到我寄给你的礼物了吗？,Nǐ shōudào wǒ jì gěi nǐ de lǐwù le ma?,Did you receive the gift I sent you?,今天我收到他寄给我的照片了。,Jīntiān wǒ shōudào tā jì gěi wǒ de zhàopiàn le.,Today I received the photo he sent me.
地址,dìzhǐ,Noun,address,"我不知道你家的地址，你可以写给我
吗？","Wǒ bù zhīdào nǐ jiā de dìzhǐ, nǐ kěyǐ xiě gěi wǒ ma?","I do not know your home address, can you write to me?","我写错他家的地址了，所以他没有收到
信。","Wǒ xiě cuò tā jiā de dìzhǐ le, suǒyǐ tā méiyǒu shōudào xìn.","I wrote the address of his home, so he did not receive the letter."
寄,jì,Verb,to send,"我想把这张照片寄给在外国工作的爸
爸。",Wǒ xiǎng bǎ zhè zhāng zhàopiàn jì gěi zài wàiguó gōngzuò de bàba.,I would like to send this photo to a dad in a foreign country.,今天下午我会把信寄出去。,Jīntiān xiàwǔ wǒ huì bǎ xìn jì chūqù.,I'll send the letter this afternoon.
包裹,bāoguǒ,Noun,package,"这个包裹是谁的？放在这里已经十天
了。",Zhègè bāoguǒ shì shéi de? Fàng zài zhèlǐ yǐjīng shítiān le.,Who is this parcel? It's been ten days here.,你收到我寄给你的包裹了吗？,Nǐ shōudào wǒ jì gěi nǐ de bāoguǒ le ma?,Did you receive the package that I sent to you?
毛衣,máoyī,Noun,sweater,这件毛衣你穿起来一定很好看。,Zhè jiàn máoyī nǐ chuān qǐlái yídìng hěn hǎokàn.,This sweater you wear it must look good.,这件毛衣太小件了。,Zhè jiàn máoyī tài xiǎo jiànle.,This sweater is too small.
试,shì,Verb,"to test, to try","我这里有一台新的电脑，你要不要试试
看？","Wǒ zhèli yǒu yìtái xīn de diànnǎo, nǐ yào bùyào shìshì kàn?","I have a new computer here, do you want to try to see?",这件裤子我试穿了，我非常喜欢。,"Zhè jiàn kùzi wǒ shìchuān le, wǒ fēicháng xǐhuan.","I try this pants, I like it very much."
盒子,hézi,Noun,case/box,这个盒子很漂亮，你可以给我吗？,"Zhègè hézi hěn piàoliang, nǐ kěyǐ gěi wǒ ma?","This box is very beautiful, can you give me?",这个盒子里面有什么？,Zhègè hézi lǐmiàn yǒu shénme?,What's inside this box?
注意,zhùyì,Verb,"to take note of, to pay attention to",你要注意身体，早点儿睡觉。,"Nǐ yào zhùyì shēntǐ,  zǎodiǎnr shuìjiào.","You have to pay attention to the body, to sleep earlier",过马路的时候，要注意有没有车。,"Guò mǎlù de shíhou, yào zhùyì yǒu méiyǒu chē.","When crossing the road, pay attention to whether there is no car."
照顾,zhàogù,Verb,"to take care of, to show consideration, to attend to, to look
after",爸爸生病了，我要回家照顾他。,"Bàba shēngbìngle, wǒ yào huíjiā zhàogù tā.","Dad is sick, I want to take home to take care of him.",你要自己照顾自己，不要让妈妈担心。,"Nǐ yào zìjǐ zhàogù zìjǐ, búyào ràng māma dānxīn.","You have to take care of yourself, do not let my mother worry."
精神,jīngshen,Noun/Adj,"vigor, vitality, drive, spiritual",你看起来精神不好，发生什么事了？,"Nǐ kàn qǐlái jīngshén bùhǎo, fāshēng shénme shì le?",Do you look so badly that what happened?,他每天都运动，所以看起来精神很好。,"Tā měitiān dōu yùndòng, suǒyǐ kàn qǐlái jīngshén hěn hǎo.","He moves every day, so it looks good."
体力,tǐlì,Noun,"physical strength, physical power",他的体力很好，游泳游了三个小时也不会累。,"Tā de tǐlì hěn hǎo, yóuyǒng yóule sān gè xiǎoshí yě búhuì lèi.","His physical strength is good, swimming for three hours will not be
tired",他每天吃很多东西也不运动，所以体力很差。,"Tā měitiān chī hěnduō dōngxi yě bú yùndòng, suǒyǐ tǐlì hěn chà.","He does not exercise a lot of things every day, so poor physical strength."
影响,yǐngxiǎng,Noun/Verb,"influence, effect, to influence, to affect (usually adversely), to disturb",不要让其他事影响到你的心情。,Búyào ràng qítā shì yǐngxiǎng dào nǐ de xīnqíng.,Do not let other things affect your feelings.,每天精神不好，已经影响到我上课了。,"Měitiān jīngshén bùhǎo, yǐjīng yǐngxiǎng dào wǒ shàngkè le.","Every day the spirit is not good, has affected my class."
作业,zuòyè,Noun,"school assignment, homework,",我今天的作业很多，已经写了三个小时了，还没写完。,"Wǒ jīntiān de zuòyè hěnduō, yǐjīng xiěle sān gè xiǎoshí le, háiméi
xiěwán.","I have a lot of work today, has been three hours, not finished.","你会写今天的汉语作业吗？我觉得很
难。",Nǐ huì xiě jīntiān de hànyǔ zuòyè ma? Wǒ juéde hěn nán.,Can you write today's Chinese homework? I find it hard
功夫,gōngfu,Noun,kung fu,我最近想学功夫，你有什么建议吗？,"Wǒ zuìjìn xiǎng xué gōngfu, nǐ yǒu shénme jiànyì ma?",I recently wanted to study martial arts. Do you have any suggestions?,,,
起来,qǐlái,Verb,"to wake up, to get up",你快起来，不要一直睡觉。,"Nǐ kuài qǐlái, búyào yìzhí shuìjiào.","You are up, do not always sleep..","我今天下午才起来，因为昨天太晚睡
了。","Wǒ jīntiān xiàwǔ cái qǐlái, yīnwèi zuótiān tài wǎn shuìle.",I got up this afternoon because it was too late for yesterday.
希望,xīwàng,Noun/Verb,"to wish for, to desire, hope",希望你的汉语越来越好。,Xīwàng nǐ de hànyǔ yuè lái yuè hǎo.,I hope your Chinese is getting better and better.,希望你回家以后，快写作业。,"Xīwàng nǐ huí jiā yǐhòu, kuài xiě zuòyè.","Hope you go home later, fast write homework."
趁,chèn,Prep,"to avail oneself of, to take advantage of","我要趁妈妈不在家的时候，把房子整理
好。","Wǒ yào chèn māma bú zàijiā de shíhòu, bǎ fángzi zhěnglǐ hǎo.",I want to take care of the house when my mother is not at home.,"我要趁他不在中国的这些日子，好好学
习汉语。","Wǒ yào chèn tā bùzài Zhōngguó de zhèxiē rìzi, hǎohāo xuéxí hànyǔ.","I want to take advantage of these days in China, learn Chinese well."
日子,rìzi,Noun,"day, a (calendar) date, days of one's life",非常谢谢这些日子，有你的照顾。,"Fēicháng xièxie zhèxiē rìzi, yǒu nǐ de zhàogù.",Thank you very much for these days and have your care.,"你去中国旅行的这些日子，这里发生了
很多事。","Nǐ qù Zhōngguó lǚxíng de zhèxiē rìzi, zhèlǐ fāshēngle hěnduō shì.","You traveled to China these days, there have been a lot of things here."
继续,jìxù,Verb,"to continue, to proceed with, to go on with",我回到美国后，还要继续学习汉语。,"Wǒ huí dào měiguó hòu, hái yào jìxù xuéxí hànyǔ.","When I return to the United States, I will continue to study Chinese.",等我吃完饭了，再继续写作业。,"Děng wǒ chī wán fànle, zài jìxù xiě zuòyè.","When I had finished my meal, I kept writing homework."
这样,zhèyàng,Pronoun,"like this, this way","我们一起去买菜吧！这样也可以一起
做饭。",Wǒmen yìqǐ qù mǎi cài ba! Zhèyàng yě kěyǐ yìqǐ zuò fàn.,Let's go shopping together! This can also be cooked together.,他有你这样的朋友，一定很开心。,"Tā yǒu nǐ zhèyàng de péngyǒu, yídìnghěn kāixīn.","He has such a friend, you must be very happy."
告别,gàobié,Verb,"to leave, to bid farewell to, to say good-bye to",我要回美国了，所以今天要向汉语老师告别。,"Wǒ yào huí měiguóle, suǒyǐ jīntiān yào xiàng hànyǔ lǎoshī gàobié.","I want to return to the United States, so today to the Chinese teacher
farewell.",我今天是来向你告别的，因为明天我要去旅行了。,"Wǒ jīntiān shì lái xiàng nǐ gàobié de, yīnwèi míngtiān wǒ yào qù lǚxíngle.","I am coming to you today, because tomorrow I am going to travel."
有的,yǒude,Pronoun,"(there are) some (who are...), some (exist)",我喜欢美食，但是有的食物我不喜欢吃。,"Wǒ xǐhuān měishí, dànshì yǒude shíwù wǒ bù xǐhuān chī.","I like food, but some food I do not like to eat.",我喜欢读汉语书，但是有的字我不认识，所以看不懂。,"Wǒ xǐhuān dú hànyǔ shū, dànshì yǒude zì wǒ bù rènshì, suǒyǐ kàn bù
dǒng.","I like to read Chinese books, but some words I do not know, so do not
understand."
送,sòng,Verb,to see off,"我的老师要回中国了，我们去机场送
他。","Wǒ de lǎoshī yào huí Zhōngguó le, wǒmen qù jīchǎng sòng tā.","My teacher to return to China, we went to the airport to send him.",今天我爸爸送我来学校。,Jīntiān wǒ bàba sòng wǒ lái xuéxiào.,Today my dad took me to school.
向,xiàng,Prep,towards,他向我学习英语，我向他学习汉语。,"Tā xiàng wǒ xuéxí yīngyǔ, wǒ xiàng tā xuéxí hànyǔ.",He learns English from me and I learn Chinese from him.,你很会做菜，我可以向你学习吗？,"Nǐ hěn huì zuò cài, wǒ kěyǐ xiàng nǐ xuéxí ma?","You will cook, can I learn from you?"
欢送会,huānsònghùi,Noun,"farewell party, going away party","因为他要回国了，所以这个周末有一个
欢送会。","Yīnwèi tā yào huíguó le, suǒyǐ zhègè zhōumò yǒu yīgè huānsònghuì.","Because he wants to return home, there is a farewell party this weekend.","我想为他办一场欢送会，你想一起来
吗？","Wǒ xiǎng wèi tā bàn yī chǎng huānsòng huì, nǐ xiǎng yī qǐlái ma?","I want to do a farewell party for him, do you want to come together?"
结婚,jiéhūn,Verb Object,"to marry, to get married",我明年要结婚了。,Wǒ míngnián yào jiéhūn le.,I am getting married next year.,现在的年轻人很晚结婚。,Xiànzài de niánqīng rén hěn wǎn jiéhūn.,Young people nowadays get married later in life.
完全,wánquán,Adv,"totally, entirely",他完全不会说汉语。,Tā wánquán búhuì shuō hànyǔ.,He completely doesn’t know how to speak Chinese.,他完全不知道我在说什么。,Tā wánquán bù zhīdào wǒ zài shuō shénme.,He totally doesn’t know what I am saying.
倒,dǎo,Verb,"to fall, to collapse,",杯子被妹妹弄倒了。,Bēizi bèi mèimei nòng dào le.,The cup was knocked over by my younger sister.,我不小心跌倒了。,Wǒ bù xiǎoxīn diēdǎo le.,I accidentally fell down.
传说,chuánshuō,Noun,"legend, folklore, tradition","今天老师告诉我们中国很有意思的传
说。",Jīntiān lǎoshī gàosu wǒmen Zhōngguó hěn yǒuyìsi de chuánshuō.,"Today, the teacher told us an interesting Chinese legend.",中国每一个节日都有传说。,Zhōngguó měi yīgè jiérì dōu yǒu chuánshuō.,Every Chinese festival has a legend.
建,jiàn,Verb,"to build, to construct",图书馆旁边建了一个新的大楼。,Túshūguǎn pángbiān jiànle yígè xīn de dàlóu.,The building is built next to the library.,我买的新房子建好了。,Wǒ mǎi de xīn fángzi jiàn hǎo le.,The house I bought is built.
抓,zhuā,Verb,"to grab, to catch, to arrest",小偷被警察抓到了。,Xiǎotōu bèi jǐngchá zhuādào le.,The thief was arrested by police.,他去海边抓鱼。,Tā qù hǎibiān zhuā yú.,He catches fishes at the beach.
全国,quánguó,Noun,"whole nation, nationwide",全国都在庆祝新年。,Quánguó dōu zài qìngzhù xīnnián.,The whole country is celebrating new year.,全国的大学都在考试。,Quánguó de dàxué dōu zài kǎoshì.,Entire colleges of the country are having an exam.
长城,chángchéng,Noun,the Great Wall,中国最有名的是长城。,Zhōngguó zuì yǒumíng de shì Chángchéng.,The most famous thing in China is the Great Wall.,大家都在排队看长城,Dàjiā dōu zài páiduì kàn chángchéng.,Everyone is queuing up for the Great Wall.
故事,gùshì,Noun,"story, tale",睡觉以前妈妈都会说故事给我听。,Shuìjiào yǐqián māma dōu huì shuō gùshì gěi wǒ tīng.,Mother used to tell me stories before I went to bed.,这个故事听起来很有意思。,Zhègè gùshì tīng qǐlái hěn yǒuyìsi.,This story sounds interesting.
一下,yīxià,Adj,a bit,等一下，我去拿手机。,"Děng yīxià, wǒ qù ná shǒujī.","Wait a minute, I'll get my phone.","这个问题虽然比较愚蠢，但是我还是要
问一下。","Zhègè wèntí suīrán bǐjiào yúchǔn ，
dànshì wǒ háishì yào wèn yixià。","Although this question is a bit stupid, I still have to ask."
也,yě,Adv,and also,我有一本书，他也有一本书。,"Wǒ yǒuyī běn shū, tā yěyǒu yī běn shū.","I have a book, he also has a book.",他不睡觉也不吃饭。,Tā bú shuìjiào yě bù chīfàn.,He doesn’t sleep or eat.
再,zài,Adv,"again, once more",再见！,Zàijiàn!,Goodbye!,请您再说一次。,Qǐng nín zài shuō yīcì.,Can you please say it one more time?
出,chū,Adj/Adv,"out, outer, outside",出口在哪儿？,Chūkǒu zài nǎ'er?,Where's the exit?,我得出门去上课!,Wǒ děi chū mén qù shàng kè.,I have to go out to go to class.
别,bié,Adv,"do not, don't do sth.",别说话，大家都睡了。,"Bié shuōhuà, dàjiā dōu shuìle.","Don't speak, everyone's sleeping.",别急！时间还没到呢！你可以慢慢来。,Bié jí! Shíjiān hái méi dào ne! Nǐ kěyǐ màn man lái.,Do not worry! Time is not yet up! You can do slowly.
卖,mài,Verb,to sell,我们不卖酒。,Wǒmen bù mài jiǔ.,We do not sell alcohol.,这本杂志卖得很好。,Zhè běn zázhì mài de hěn hǎo.,This magazine sells well.
可以,kěyǐ,Verb,"to be able to, can",我可以去厕所吗？,Wǒ kěyǐ qù cèsuǒ ma?,May I go to the bathroom?,你可以教我怎么说英语吗?,Nǐ kěyǐ jiāo wǒ zěnme shuō yīngyǔ ma?,Can you teach me how to speak English?
右边,yòubiān,Noun/Adj,"right, right side",地铁站右边有一间饭店。,Dìtiě zhàn yòubiān yǒuyī jiàn fàndiàn.,There is a hotel on the right side of the subway station.,在我家后面以及右边都有新的大楼。,Zài wǒjiā hòumiàn yǐjí yòubiān dōuyǒu xīnde dàlóu.,There is a new building on the back of my house and on the right.
吧,ba,Conj,Right now,我们一起吃中饭吧!,Wǒmen yìqǐ chī zhōngfàn ba!,Let’s eat lunch together.,这是我的学校，很漂亮吧?,"Zhè shì wǒ de xuéxiào, hěn piàoliang ba?","This is my school. It's really pretty, isn't it?"
因为…所以…,yīnwèi…suǒyǐ…,Grammar,Because Therefore…,因为他后天要去北京工作，所以明天晚上我们一起去酒吧喝酒聊天吧!,"Yīnwèi tā hòutiān yào qù Běijīng gōngzuò, suǒyǐ míngtiān wǎnshàng
wǒmen yìqǐ qù jiǔbā hējiǔ liáotiān ba.","He is going to work in Peking the day after tomorrow, so let’s go to the bar
and have a drink tomorrow night.",北京的天气很冷，因为开车出门不方便，所以很多人都搭地铁。,"Běijīng de tiānqì hěn lěng, yīnwèi kāichē chūmén bù fāngbiàn, suǒyǐ
hěn duō rén dōu dā dìtiě.","The weather in Beijing is cold. Driving is not convenient therefore a lot of
people take a subway."
